split,seed,model,estimates,dimension,group,rows,mae,rmse,log_rmse
random,42,histgb,True,Town Code,39,1107,35158.5887331386,47529.97590447644,0.32181756255886057
random,42,histgb,True,Town Code,70,1324,41335.223785373186,58239.83586129134,0.5200302150636469
random,42,histgb,True,Town Code,71,3247,62643.3616863682,87481.93856525085,0.3225521901537135
random,42,histgb,True,Town Code,72,3770,39125.52835159937,53566.1592313174,0.42446586233549544
random,42,histgb,True,Town Code,73,197,97627.35798441853,130236.51343401817,0.34736131274399457
random,42,histgb,True,Town Code,74,12,126872.47745462216,147022.95556445813,0.323934241840109
random,42,histgb,True,Town Code,75,159,67918.89813374491,83906.90170038355,0.27147521296650623
random,42,histgb,True,Town Code,76,235,61372.40757262329,88836.78486489964,0.4170572259643458
random,42,histgb,True,Town Code,77,818,64362.01883500611,88513.58678207238,0.4887767082866287
random,42,histgb,False,price_band,<100k,5358,28820.16250526895,43146.97413605086,0.5266755038301203
random,42,histgb,False,price_band,100k-250k,11591,39237.713293845016,51764.6529849822,0.32193333454336304
random,42,histgb,False,price_band,250k-500k,8352,55493.74121765068,73911.64656553388,0.23975892813530217
random,42,histgb,False,price_band,500k-1m,2343,105863.33562612106,136043.54577361717,0.26777114763021287
random,42,histgb,False,Property Class,202,4406,38218.3155741095,57485.78143171384,0.4056807769587265
random,42,histgb,False,Property Class,203,13407,43005.62501062806,61659.497897936664,0.3568265065955028
random,42,histgb,False,Property Class,204,1757,58199.54967560667,78876.43358753163,0.2986429710074522
random,42,histgb,False,Property Class,205,2756,57944.08995875334,81037.54680579464,0.35972496470134446
random,42,histgb,False,Property Class,206,700,88451.14520347492,112855.56225574206,0.34390045426485544
random,42,histgb,False,Property Class,207,1286,43691.04261067028,62555.50775759946,0.28908707592333854
random,42,histgb,False,Property Class,208,234,77592.86227363233,108532.75296865907,0.3221968006414472
random,42,histgb,False,Property Class,209,34,106143.64092052497,130732.23247714933,0.27845282686160355
